AngleRoll,AnglePitch,Tempo
-41.164852,37.737652,39155
-42.367809,36.711903,39170
-43.416977,35.738087,39188
-42.731728,36.098457,39209
-41.761772,37.128071,39223
-41.058250,38.582726,39247
-39.800365,39.202110,39270
-40.222195,39.281357,39290
-40.075432,39.279621,39311
-40.074825,38.950611,39324
-42.532375,36.951115,39355
-42.274174,36.492088,39385
-42.412277,36.771526,39404
-41.728142,37.575253,39461
-39.961910,39.128441,39487
-40.050316,39.160080,39513
-41.186195,38.092953,39545
-42.270824,36.810135,39570
-41.969799,36.996357,39600
-41.895237,37.064964,39620
-41.574066,37.795044,39652
-40.675640,38.716686,39665
-40.009293,39.121342,39683
-40.093212,39.225292,39697
-41.867508,37.667767,39738
-41.564545,37.246765,39773
-41.896175,37.335068,39788
-42.255108,36.737328,39804
-42.015457,37.170807,39825
-40.769531,38.761539,39861
-40.524227,38.604656,39887
-40.779697,38.609055,39903
-41.269394,37.947662,39926
-41.309475,38.011749,39937
-41.749680,37.489674,39965
-42.108421,37.107246,39984
-41.946831,37.092194,40012
-41.444794,37.791809,40040
-40.549244,38.609425,40057
-40.759102,38.442654,40080
-40.906685,38.387573,40098
-40.525372,38.718342,40119
-41.417461,37.498528,40146
-42.001942,37.248497,40164
-42.251434,36.863800,40182
-41.788326,37.408501,40200
-41.434216,37.545483,40217
-41.062153,38.287727,40248
-40.680614,38.602325,40266
-40.434166,38.892651,40284
-40.646339,38.652878,40309
-40.926231,38.448322,40323
-41.360844,37.788097,40343
-41.936287,37.354847,40354
-41.919384,37.151985,40385
-41.835426,37.342331,40403
-41.551785,37.676613,40421
-41.090843,38.021835,40451
-40.283524,38.911327,40480
-40.428730,38.748554,40499
-41.150181,38.162502,40517
-41.560585,37.811787,40542
-41.685432,37.313648,40556
-41.802036,37.379368,40577
-42.230000,37.107620,40595
-41.464806,37.592518,40622
-41.196369,38.176186,40644
-40.374649,38.922085,40676
-40.861465,38.596340,40696
-40.985096,38.288872,40718
-41.402481,37.696560,40734
-42.127937,37.141029,40764
-42.051876,37.244900,40828
-41.009502,38.618946,40890
-41.016182,37.994659,40934
-42.176414,36.901524,40958
-41.932476,37.651806,40985
-41.093060,37.998325,41016
-40.596333,38.424141,41035
-40.287941,38.539707,41060
-40.891560,38.562962,41085
-41.419365,38.054199,41103
-41.921448,37.490417,41133
-41.882168,37.305630,41157
-41.440781,38.075615,41207
-40.491543,38.234215,41234
-40.902374,38.215660,41268
-41.870682,37.468105,41308
-41.663818,37.610580,41336
-41.465160,37.974842,41366
-40.957016,38.252541,41421
-41.183907,38.092014,41446
-41.143932,37.705185,41480
-41.688393,37.871880,41526
-40.995750,38.107670,41574
-41.314896,38.066196,41615
-41.151787,38.019993,41632
-41.305859,37.881046,41649
